"filename", "language", "Handlebars", "comment", "blank", "total"
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\account.handlebars", "Handlebars", 0, 0, 1, 1
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\create-post.handlebars", "Handlebars", 23, 0, 1, 24
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\dashboard.handlebars", "Handlebars", 48, 7, 12, 67
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\edit-post.handlebars", "Handlebars", 14, 0, 4, 18
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\home.handlebars", "Handlebars", 34, 3, 3, 40
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\layouts\main.handlebars", "Handlebars", 36, 5, 3, 44
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\login.handlebars", "Handlebars", 40, 0, 3, 43
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\signup.handlebars", "Handlebars", 37, 1, 4, 42
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\single-post.handlebars", "Handlebars", 16, 2, 2, 20
"Total", "-", 248, 18, 33, 299
