"filename", "language", "JavaScript", "Handlebars", "comment", "blank", "total"
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\api\index.js", "JavaScript", 4, 0, 3, 3, 10
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\api\userRoutes.js", "JavaScript", 68, 0, 5, 14, 87
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\commentController.js", "JavaScript", 53, 0, 6, 6, 65
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\homeRoute.js", "JavaScript", 142, 0, 16, 22, 180
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\index.js", "JavaScript", 10, 0, 3, 3, 16
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\postController.js", "JavaScript", 75, 0, 6, 10, 91
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\account.handlebars", "Handlebars", 0, 0, 0, -1, -1
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\create-post.handlebars", "Handlebars", 0, -23, 0, -1, -24
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\dashboard.handlebars", "Handlebars", 0, -48, -7, -12, -67
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\edit-post.handlebars", "Handlebars", 0, -14, 0, -4, -18
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\home.handlebars", "Handlebars", 0, -34, -3, -3, -40
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\layouts\main.handlebars", "Handlebars", 0, -36, -5, -3, -44
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\login.handlebars", "Handlebars", 0, -40, 0, -3, -43
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\signup.handlebars", "Handlebars", 0, -37, -1, -4, -42
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\single-post.handlebars", "Handlebars", 0, -16, -2, -2, -20
"Total", "-", 352, -248, 21, 25, 150
